name,taxid,rank
"Myxococcaceae","31","family"
"Corallococcus","83461","genus"
"Corallococcus coralloides","184914","species"
"Coprococcus comes","410072","species"
"Corynebacterium ammoniagenes","1697","species"
"Coriobacterium","33870","genus"
"Coriobacterium glomerans","33871","species"
"Corynebacterium amycolatum","43765","species"
"Corynebacterium anserum","2684406","species"
"Corynebacterium aquilae","203263","species"
"Corynebacterium atypicum","191610","species"
"Corynebacterium aurimucosum","169292","species"
"Corynebacterium argentoratense","42817","species"
"Corynebacterium bovis","36808","species"
"Corynebacterium camporealensis","161896","species"
"Corynebacterium callunae","1721","species"
"Corynebacterium casei","160386","species"
"Corynebacterium cystitidis","35757","species"
"Corynebacterium crudilactis","1652495","species"
"Corynebacterium deserti","1408191","species"
"Corynebacterium choanis","1862358","species"
"Corallococcus macrosporus","35","species"
"Corynebacterium epidermidicanis","1050174","species"
"Corynebacterium doosanense","1121358","species"
"Corynebacterium efficiens","152794","species"
"Corynebacterium flavescens","28028","species"
"Corynebacterium falsenii","108486","species"
"Corynebacterium endometrii","2488819","species"
"Corynebacterium glucuronolyticum","39791","species"
"Corynebacterium geronticis","2079234","species"
"Corynebacterium glaucum","187491","species"
"Corynebacterium frankenforstense","1230998","species"
"Corynebacterium glutamicum","1718","species"
"Corynebacterium glyciniphilum","1404244","species"
"Corynebacterium halotolerans","225326","species"
"Corynebacterium jeikeium","38289","species"
"Corynebacterium humireducens","1223514","species"
"Corynebacterium imitans","156978","species"
"Corynebacterium kefirresidentii","1979527","species"
"Corynebacterium kroppenstedtii","161879","species"
"Corynebacterium kutscheri","35755","species"
"Corynebacterium lactis","1231000","species"
"Corynebacterium macginleyi","38290","species"
"Corynebacterium liangguodongii","2079535","species"
"Corynebacterium marinum","349751","species"
"Corynebacterium maris","575200","species"
"Corynebacterium matruchotii","43768","species"
"Corynebacterium minutissimum","38301","species"
"Corynebacterium mycetoides","38302","species"
"Corynebacterium mustelae","571915","species"
"Corynebacterium propinquum","43769","species"
"Corynebacterium pelargi","1471400","species"
"Corynebacterium provencense","1737425","species"
"Corynebacterium pseudopelargi","2080757","species"
"Corynebacterium pseudotuberculosis","1719","species"
"Corynebacterium phocae","161895","species"
"Corynebacterium renale","1724","species"
"Corynebacterium resistens","258224","species"
"Corynebacterium riegelii","156976","species"
"Corynebacterium segmentosum","43990","species"
"Corynebacterium simulans","146827","species"
"Corynebacterium singulare","161899","species"
"Corynebacterium incognitum","2754725","species"
"Corynebacterium qintianiae","2709392","species"
"Corynebacterium lizhenjunii","2709394","species"
"Corynebacterium stationis","1705","species"
"Corynebacterium sphenisci","191493","species"
"Corynebacterium striatum","43770","species"
"Corynebacterium tuberculostearicum","38304","species"
"Corynebacterium timonense","441500","species"
"Corynebacterium terpenotabidum","89154","species"
"Corynebacterium testudinoris","136857","species"
"Corynebacterium ulcerans","65058","species"
"Corynebacterium urealyticum","43771","species"
"Corynebacterium ureicelerivorans","401472","species"
"Corynebacterium vitaeruminis","38305","species"
"Corynebacterium uterequi","1072256","species"
"Corynebacterium xerosis","1725","species"
"Corynebacterium variabile","1727","species"
"Costertonia","343334","genus"
"Costertonia aggregata","343403","species"
"Coxiella","776","genus"
"Coxiella burnetii","777","species"
"Corynebacterium yudongzhengii","2080740","species"
"Crenobacter","1654931","genus"
"Crenobacter cavernae","2290923","species"
"Crassaminicella","1848399","genus"
"Crateriforma","2714592","genus"
"Crateriforma conspicua","2527996","species"
"Croceibacter","216431","genus"
"Croceibacter atlanticus","313588","species"
"Croceicoccus","1295327","genus"
"Croceicoccus marinus","450378","species"
"Croceicoccus naphthovorans","1348774","species"
"Cronobacter","413496","genus"
"Cronobacter condimenti","1163710","species"
"Crocosphaera","263510","genus"
"Crocosphaera subtropica","2546360","species"
"Cronobacter muytjensii","413501","species"
"Cronobacter malonaticus","413503","species"
"Cronobacter sakazakii","28141","species"
"Coxiella-like endosymbiont","1592897","species"
"Gomontiellaceae","1892255","family"
"Crinalium","241421","genus"
"Crinalium epipsammum","241425","species"
"Cronobacter turicensis","413502","species"
"Cronobacter universalis","535744","species"
"Cryobacterium","69578","genus"
"Cryobacterium arcticum","670052","species"
"Cronobacter dublinensis","413497","species"
"Cruoricaptor","1433995","genus"
"Cruoricaptor ignavus","1118202","species"
"Schleiferiaceae","1333713","family"
"Croceimicrobium","2828338","genus"
"Croceimicrobium hydrocarbonivorans","2761580","species"
"Cryomorphaceae","246874","family"
"Cryomorphaceae bacterium","1898111","species"
"Cryptobacterium","84162","genus"
"Cryptobacterium curtum","84163","species"
"Cupriavidus","106589","genus"
"Cupriavidus gilardii","82541","species"
"Cupriavidus basilensis","68895","species"
"Cupriavidus metallidurans","119219","species"
"Cupriavidus malaysiensis","367825","species"
"Cupriavidus necator","106590","species"
"Cupriavidus nantongensis","1796606","species"
"Cupriavidus oxalaticus","96344","species"
"Cupriavidus pauculus","82633","species"
"Cupriavidus pinatubonensis","248026","species"
"Curtobacterium","2034","genus"
"Curtobacterium flaccumfaciens","2035","species"
"Cupriavidus taiwanensis","164546","species"
"Curvibacter","281915","genus"
"Cutibacterium","1912216","genus"
"Cutibacterium acnes","1747","species"
"Cutibacterium avidum","33010","species"
"Cutibacterium granulosum","33011","species"
"Geminocystaceae","2815910","family"
"Cyanobacterium","102234","genus"
"Cyanobacterium aponinum","379064","species"
"Cyanobacterium stanieri","102235","species"
"Synechococcaceae","1890426","family"
"Cyanobium","167375","genus"
"cyanobacterium endosymbiont of Epithemia turgida","718217","species"
"Cyanobium gracile","59930","species"
"Cyanothecaceae","1892249","family"
"Cyanothece","43988","genus"
"Cyclobacterium","68288","genus"
"Cyclobacterium marinum","104","species"
"Piscirickettsiaceae","135616","family"
"Cycloclasticus","34067","genus"
"Cycloclasticus zancles","1329899","species"
"Cylindrospermum","56106","genus"
"Cycloclasticus sp. P1","385025","species"
"Cyclobacterium amurskyense","320787","species"
"Cylindrospermopsis","77021","genus"
"Cylindrospermopsis curvispora","747548","species"
"Cylindrospermum stagnale","142864","species"
"Cytophaga","978","genus"
"Cytophaga hutchinsonii","985","species"
"Lacrimispora","2719231","genus"
"Lacrimispora saccharolytica","84030","species"
"Cystobacter","42","genus"
"Cystobacter fuscus","43","species"
"Lachnoclostridium","1506553","genus"
"[Clostridium] hylemonae","89153","species"
"Erysipelatoclostridium","1505663","genus"
"[Clostridium] innocuum","1522","species"
"[Clostridium] scindens","29347","species"
"Tissierellaceae","1737406","family"
"Schnuerera","2794837","genus"
"Schnuerera ultunensis","45497","species"
"Lacrimispora sphenoides","29370","species"
"Dactylococcopsis","13034","genus"
"Dactylococcopsis salina","292566","species"
"Azonexaceae","2008795","family"
"Dechloromonas","73029","genus"
"Dechloromonas aromatica","259537","species"
"Deferribacter","53572","genus"
"Deferribacter desulfuricans","197162","species"
"Defluviicoccus","111830","genus"
"Defluviicoccus vanus","111831","species"
"Dehalobacter","56112","genus"
"Dehalobacter restrictus","55583","species"
"Deefgea","400947","genus"
"Cytobacillus kochii","859143","species"
"Petrotogales","1643947","order"
"Petrotogaceae","1643949","family"
"Defluviitoga","1511648","genus"
"Dehalococcoidia","301297","class"
"Dehalococcoidales","1202465","order"
"Dehalococcoidaceae","1202464","family"
"Dehalococcoides","61434","genus"
"Dehalococcoides mccartyi","61435","species"
"Defluviimonas","1097466","genus"
"Defluviimonas alba","1335048","species"
"Dehalogenimonas","670486","genus"
"Dehalogenimonas formicexedens","1839801","species"
"Deinococcus-Thermus","1297","phylum"
"Deinococci","188787","class"
"Deinococcales","118964","order"
"Deinococcaceae","183710","family"
"Deinococcus","1298","genus"
"Deinococcus ficus","317577","species"
"Deinococcus gobiensis","502394","species"
"Deinococcus actinosclerus","1768108","species"
"Dehalogenimonas lykanthroporepellens","552810","species"
"Deinococcus metallilatus","1211322","species"
"Deinococcus irradiatisoli","2202254","species"
"Deinococcus maricopensis","309887","species"
"Deinococcus grandis","57498","species"
"Deinococcus peraridilitoris","432329","species"
"Deinococcus proteolyticus","55148","species"
"Deinococcus radiodurans","1299","species"
"Deinococcus puniceus","1182568","species"
"Deinococcus radiopugnans","57497","species"
"Deinococcus soli Cha et al. 2016","1309411","species"
"Deinococcus sp. S14-83","2489213","species"
"Deinococcus wulumuqiensis","980427","species"
"Deinococcus swuensis","1182571","species"
"Deinococcus deserti","310783","species"
"Delftia","80865","genus"
"Delftia lacustris","558537","species"
"Delftia acidovorans","80866","species"
"Deinococcus geothermalis","68909","species"
"Delftia tsuruhatensis","180282","species"
"Sterolibacteriaceae","2008793","family"
"Denitratisoma","311181","genus"
"Denitratisoma oestradiolicum","311182","species"
"Dermabacter","36739","genus"
"Dermabacter vaginalis","1630135","species"
"Dermacoccaceae","145357","family"
"Dermacoccus","57495","genus"
"Dermacoccus abyssi","322596","species"
"Dermabacter jinjuensis","1667168","species"
"Denitrobacterium","79603","genus"
"Denitrobacterium detoxificans","79604","species"
"Dermatophilaceae","85018","family"
"Dermatophilus","1862","genus"
"Dermatophilus congolensis","1863","species"
"Dermacoccus nishinomiyaensis","1274","species"
"Desulfallas","2282740","genus"
"Desulfallas gibsoniae","102134","species"
"Denitrovibrio","117999","genus"
"Denitrovibrio acetiphilus","118000","species"
"Desulfarculales","453227","order"
"Desulfarculaceae","453228","family"
"Desulfarculus","453229","genus"
"Desulfarculus baarsii","453230","species"
"Desulfitobacterium","36853","genus"
"Desulfitobacterium dehalogenans","36854","species"
"Desulfitobacterium dichloroeliminans","233055","species"
"Desulfobacterales","213118","order"
"Desulfobacteraceae","213119","family"
"Desulfatibacillum","218207","genus"
"Desulfatibacillum alkenivorans","259354","species"
"Desulfitobacterium metallireducens","142877","species"
"Desulfobacterium","2295","genus"
"Desulfobacterium autotrophicum","2296","species"
"Desulfobacter","2289","genus"
"Desulfobacter hydrogenophilus","2291","species"
"Desulfobulbaceae","213121","family"
"Desulfobulbus","893","genus"
"Desulfobulbus propionicus","894","species"
"Desulfobulbus oralis","1986146","species"
"Desulfocapsa","53318","genus"
"Desulfocapsa sulfexigens","65555","species"
"Syntrophobacterales","213462","order"
"Syntrophaceae","213468","family"
"Desulfobacca","60892","genus"
"Desulfobacca acetoxidans","60893","species"
"Desulfococcus","896","genus"
"Desulfococcus multivorans","897","species"
"Desulfococcus oleovorans","181663","species"
"Desulfofundulus","2282741","genus"
"Desulfofundulus kuznetsovii","58135","species"
"Syntrophobacteraceae","213465","family"
"Desulfoglaeba","361106","genus"
"Desulfoglaeba alkanexedens","361111","species"
"Desulfohalobiaceae","213117","family"
"Desulfohalobium","45662","genus"
"Desulfohalobium retbaense","45663","species"
"Desulfofarcimen","2282742","genus"
"Desulfofarcimen acetoxidans","58138","species"
"Desulfomicrobiaceae","213116","family"
"Desulfomicrobium","898","genus"
"Desulfomicrobium baculatum","899","species"
"Desulfonatronaceae","224380","family"
"Desulfonatronum","66848","genus"
"Desulfonatronum thiodismutans","159290","species"
"Desulfonema","45654","genus"
"Desulfonema limicola","45656","species"
"Desulfomonile","2357","genus"
"Desulfomonile tiedjei","2358","species"
"Desulfomicrobium orale","132132","species"
"Desulfosarcina","2299","genus"
"Desulfosarcina alkanivorans","571177","species"
"Desulfobacula","28222","genus"
"Desulfobacula toluolica","28223","species"
"Desulfosarcina ovata","83564","species"
"Desulfocurvibacter","2582840","genus"
"Desulfocurvibacter africanus","873","species"
"Desulfosporosinus","79206","genus"
"Desulfosporosinus meridiei","79209","species"
"Desulfosarcina widdelii","947919","species"
"Desulfosporosinus acidiphilus","885581","species"
"Desulfosporosinus orientis","1563","species"
"Desulfotalea","109168","genus"
"Desulfotalea psychrophila","84980","species"
"Desulfotomaculum","1562","genus"
"Desulfotomaculum nigrificans","1565","species"
"Desulfotomaculum ferrireducens","1833852","species"
"Desulfotomaculum ruminis","1564","species"
"Desulfobulbus oligotrophicus","1909699","species"
"Desulfovibrio carbinolicus","296842","species"
"Desulfovibrio desulfuricans","876","species"
"Desulfovibrio fairfieldensis","44742","species"
"Desulfonema magnum","45655","species"
"Desulfovibrio gigas","879","species"
"Desulfovibrio alaskensis","58180","species"
"Desulfovibrio magneticus","184917","species"
"Maridesulfovibrio","2794998","genus"
"Maridesulfovibrio salexigens","880","species"
"Maridesulfovibrio hydrothermalis","191026","species"
"Desulfovibrio marinus","370038","species"
"Desulfovibrio sulfodismutans","63561","species"
"Desulfovibrio vulgaris","881","species"
"Desulfurellales","213113","order"
"Desulfurellaceae","117942","family"
"Desulfurella","33001","genus"
"Desulfurella acetivorans","33002","species"
"Desulfotomaculum reducens","59610","species"
"Desulfuromonadales","69541","order"
"Desulfuromonadaceae","213421","family"
"Desulfuromonas","890","genus"
"Chrysiogenetes","200938","phylum"
"Chrysiogenales","189769","order"
"Chrysiogenaceae","189770","family"
"Desulfurispirillum","393029","genus"
"Desulfurispirillum indicum","936456","species"
"Desulfurivibrio","427922","genus"
"Desulfurivibrio alkaliphilus","427923","species"
"Desulfurobacteriales","1485951","order"
"Desulfurobacteriaceae","558314","family"
"Desulfurobacterium","64159","genus"
"Desulfurobacterium thermolithotrophum","64160","species"
"Devosiaceae","2831106","family"
"Devosia","46913","genus"
"Veillonellales","1843489","order"
"Veillonellaceae","31977","family"
"Dialister","39948","genus"
"Dialister pneumosintes","39950","species"
"Diaphorobacter","238749","genus"
"Diaphorobacter polyhydroxybutyrativorans","1546149","species"
"Diaphorobacter aerolatus","1288495","species"
"Diaphorobacter ruginosibacter","1715720","species"
"Dialister hominis","2582419","species"
"Dichelobacter","869","genus"
"Dichelobacter nodosus","870","species"
"Dickeya","204037","genus"
"Dickeya dianthicola","204039","species"
"Dickeya fangzhongdai","1778540","species"
"Dickeya paradisiaca","69223","species"
"Dickeya poaceiphila","568768","species"
"Dickeya aquatica","1401087","species"
"Dickeya solani","1089444","species"
"Dickeya dadantii","204038","species"
"Dickeya chrysanthemi","556","species"
"Dickeya zeae","204042","species"
"Dictyoglomi","68297","phylum"
"Dictyoglomia","203486","class"
"Dictyoglomales","203487","order"
"Dictyoglomaceae","203488","family"
"Dictyoglomus","13","genus"
"Dictyoglomus turgidum","513050","species"
"Dietziaceae","85029","family"
"Dietzia","37914","genus"
"Dietzia psychralcaliphila","139021","species"
"Dietzia lutea","546160","species"
"Dietzia timorensis","499555","species"
"Dietzia sp. oral taxon 368","712270","species"
"Dinoroseobacter","309512","genus"
"Dinoroseobacter shibae","215813","species"
"Thermodesulfovibrionia","2811502","class"
"Thermodesulfovibrionales","2811503","order"
"Dissulfurispiraceae","2811505","family"
"Dissulfurispira","2811506","genus"
"Dissulfurispira thermophila","2715679","species"
"Dokdonia","326319","genus"
"Dokdonella","323413","genus"
"Dokdonella koreensis","323415","species"
"Dokdonia donghaensis","326320","species"
"Dolichospermum","748770","genus"
"Dolichospermum compactum","136073","species"
"Dolichospermum flos-aquae","1166","species"
"Dolosigranulum","29393","genus"
"Dolosigranulum pigrum","29394","species"
"Dictyoglomus thermophilum","14","species"
"Draconibacterium","1471399","genus"
"Draconibacterium orientale","1168034","species"
"Muribaculaceae","2005473","family"
"Duncaniella","2518495","genus"
"Duganella","75654","genus"
"Dyadobacter","120831","genus"
"Dyadobacter fermentans","94254","species"
"Dyella","231454","genus"
"Dyella caseinilytica","1849581","species"
"Dyella thiooxydans","445710","species"
"Dysgonomonadaceae","2005520","family"
"Dysgonomonas","156973","genus"
"Dyella japonica","231455","species"
"Dyella jiangningensis","1379159","species"
"Dysosmobacter","2591381","genus"
"Dysosmobacter welbionis","2093857","species"
"Echinicola","390846","genus"
"Echinicola strongylocentroti","1795355","species"
"Ectothiorhodospira","1051","genus"
"Edaphobacter","388463","genus"
"Echinicola vietnamensis","390884","species"
"Hafniaceae","1903412","family"
"Edwardsiella","635","genus"
"Edwardsiella anguillarum","1821960","species"
"Edwardsiella ictaluri","67780","species"
"Edwardsiella hoshinae","93378","species"
"Edwardsiella piscicida","1263550","species"
"Edwardsiella tarda","636","species"
"Eggerthella","84111","genus"
"Ehrlichia","943","genus"
"Ehrlichia ruminantium","779","species"
"Nitriliruptoria","908620","class"
"Egibacterales","1747768","order"
"Egibacteraceae","1747769","family"
"Egibacter","1747770","genus"
"Egibacter rhizosphaerae","1670831","species"
"Eikenella","538","genus"
"Eikenella corrodens","539","species"
"Eikenella exigua","2528037","species"
"Eggerthella lenta","84112","species"
"Elizabethkingia","308865","genus"
"Elizabethkingia anophelis","1117645","species"
"Elizabethkingia bruuniana","1756149","species"
"Elizabethkingia meningoseptica","238","species"
"Elizabethkingia miricola","172045","species"
"Elusimicrobia","74152","phylum"
"Elusimicrobiales","641854","order"
"Elusimicrobiaceae","641876","family"
"Elusimicrobium","423604","genus"
"Elusimicrobium minutum","423605","species"
"Elizabethkingia ursingii","1756150","species"
"Empedobacter","59734","genus"
"Empedobacter brevis","247","species"
"Empedobacter stercoris","1628248","species"
"Empedobacter falsenii","343874","species"
"Endomicrobia","447830","class"
"Endomicrobiales","1783344","order"
"Endomicrobiaceae","1783343","family"
"Endomicrobium","1408194","genus"
"Endomicrobium proavitum","1408281","species"
"Emticicia","312278","genus"
"Emticicia oligotrophica","312279","species"
"Bathymodiolus septemdierum thioautotrophic gill symbiont","113267","species"
"endosymbiont 'TC1' of Trimyema compressum","243899","species"
"Ensifer","106591","genus"
"Ensifer adhaerens","106592","species"
"Endozoicomonadaceae","2066474","family"
"Endozoicomonas","305899","genus"
"Endozoicomonas montiporae","1027273","species"
"Ensifer alkalisoli","1752398","species"
"Ensifer mexicanus","375549","species"
"Enterobacter","547","genus"
"Enterobacter asburiae","61645","species"
"Enterobacter cancerogenus","69218","species"
"Enterobacter bugandensis","881260","species"
"Ensifer sojae","716925","species"
"Enterobacter cloacae","550","species"
"Enterobacter chengduensis","2494701","species"
"Enterobacter cloacae complex sp.","2027919","species"
"Enterobacter kobei","208224","species"
"Enterobacter ludwigii","299767","species"
"Enterobacter mori","539813","species"
"Enterobacter roggenkampii","1812935","species"
"Enterobacter sp. JUb54","2724468","species"
"Enterocloster","2719313","genus"
"Enterocloster bolteae","208479","species"
"Enterocloster clostridioformis","1531","species"
"Enterococcaceae","81852","family"
"Enterococcus","1350","genus"
"Enterococcus avium","33945","species"
"Enterococcus cecorum","44008","species"
"Enterococcus durans","53345","species"
"Enterococcus casseliflavus","37734","species"
"Enterococcus faecalis","1351","species"
"Enterococcus faecium","1352","species"
"Enterococcus gallinarum","1353","species"
"Enterococcus hirae","1354","species"
"Enterococcus gilvus","160453","species"
"Enterococcus mundtii","53346","species"
"Enterococcus saigonensis","1805431","species"
"Enterococcus rotai","118060","species"
"Enterococcus silesiacus","332949","species"
"Entomobacter","2811380","genus"
"Entomobacter blattae","2762277","species"
"Enterococcus thailandicus","417368","species"
"Entomomonas","2758906","genus"
"Entomomonas moraniae","2213226","species"
"Entomoplasmatales","186328","order"
"Entomoplasmataceae","33925","family"
"Entomoplasma","46238","genus"
"Entomoplasma melaleucae","81459","species"
"Entomoplasma freundtii","74700","species"
"Ephemeroptericola","2680021","genus"
"Ephemeroptericola cinctiostellae","2268024","species"
"Epibacterium","1649279","genus"
"Epibacterium mobile","379347","species"
"Sporichthyales","2495578","order"
"Sporichthyaceae","85033","family"
"Epidermidibacterium","2078948","genus"
"Epidermidibacterium keratini","1891644","species"
"Epilithonimonas vandammei","2487072","species"
"Enterococcus lactis","357441","species"
"Opitutales","415000","order"
"Opitutaceae","134623","family"
"Ereboglobus","2028344","genus"
"Ereboglobus luteus","1796921","species"
"Erwinia amylovora","552","species"
"Entomoplasma somnilux","215578","species"
"Erwinia billingiae","182337","species"
"Erwinia gerundensis","1619313","species"
"Erwinia pyrifoliae","79967","species"
"Erwinia rhapontici","55212","species"
"Erwinia tasmaniensis","338565","species"
"Erwinia persicina","55211","species"
"Erysipelatoclostridium ramosum","1547","species"
"Erwinia tracheiphila","65700","species"
"Erysipelothrix","1647","genus"
"Erysipelothrix piscisicarius","2485784","species"
"Erysipelothrix rhusiopathiae","1648","species"
"Erysipelothrix larvae","1514105","species"
"Erysipelothrix inopinata","225084","species"
"Erythrobacter","1041","genus"
"Erythrobacter aureus","2182384","species"
"Erythrobacter litoralis","39960","species"
"Erythrobacter neustonensis","1112","species"
"Escherichia","561","genus"
"Escherichia albertii","208962","species"
"Erythrobacter mangrovi","2739433","species"
"Escherichia fergusonii","564","species"
"Escherichia marmotae","1499973","species"
"Ethanoligenens","253238","genus"
"Ethanoligenens harbinense","253239","species"
"Eubacterium","1730","genus"
"Eubacterium limosum","1736","species"
"[Eubacterium] sulci","143393","species"
"Euzebyales","908621","order"
"Euzebyaceae","908622","family"
"Euzebya","908623","genus"
"Euhalothece","65097","genus"
"Euhalothece natronophila","577489","species"
"Ewingella","41201","genus"
"Ewingella americana","41202","species"
"[Eubacterium] minutum","76124","species"
"Exiguobacterium","33986","genus"
"Exiguobacterium antarcticum","132920","species"
"Exiguobacterium oxidotolerans","223958","species"
"Euzebyella","1287916","genus"
"Euzebyella marina","1761453","species"
"Exiguobacterium sibiricum","332410","species"
"[Eubacterium] rectale","39491","species"
"Pluralibacter","1330546","genus"
"[Enterobacter] lignolyticus","1334193","species"
"Lachnospira","28050","genus"
"Lachnospira eligens","39485","species"
"Eubacterium maltosivorans","2041044","species"
"[Eubacterium] siraeum","39492","species"
"Faecalibacillus","2678885","genus"
"Faecalibacillus intestinalis","1982626","species"
"Faecalibacterium","216851","genus"
"Faecalibacterium prausnitzii","853","species"
"Faecalibaculum","1729679","genus"
"Faecalibaculum rodentium","1702221","species"
"Faecalitalea","1573534","genus"
"Faecalitalea cylindroides","39483","species"
"Fannyhessea","2767327","genus"
"Fannyhessea vaginae","82135","species"
"Fermentimonas","1784836","genus"
"Ferrimonadaceae","267892","family"
"Ferrimonas","44011","genus"
"Ferrimonas balearica","44012","species"
"Fastidiosipila","236752","genus"
"Fastidiosipila sanguinis","236753","species"
"Ferrimonas lipolytica","2724191","species"
"Ferrigenium","2249462","genus"
"Ferrigenium kumadai","1682490","species"
"Ferrovibrio","1231242","genus"
"Ferrovibrio terrae","2594003","species"
"Ferrovales","1442155","order"
"Ferrovaceae","1442156","family"
"Ferrovum","416212","genus"
"Thermotogales","2419","order"
"Fervidobacteriaceae","1643950","family"
"Fervidobacterium","2422","genus"
"Fervidobacterium islandicum","2423","species"
"Fervidobacterium changbaicum","310769","species"
"Fervidobacterium nodosum","2424","species"
"Fibrella","861914","genus"
"Fibrella aestuarina","651143","species"
"Filifactor","44259","genus"
"Filifactor alocis","143361","species"
"Filimonas","649460","genus"
"Filimonas lacunae","477680","species"
"Fictibacillus","1329200","genus"
"Fictibacillus phosphorivorans","1221500","species"
"Fibrobacteres","65842","phylum"
"Fibrobacteria","204430","class"
"Fibrobacterales","218872","order"
"Fibrobacteraceae","204431","family"
"Fibrobacter","832","genus"
"Fibrobacter succinogenes","833","species"
"Fictibacillus arsenicus","255247","species"
"Fimbriimonadia","1663419","class"
"Fimbriimonadales","1663425","order"
"Fimbriimonadaceae","1663426","family"
"Fimbriimonas","1005038","genus"
"Fimbriimonas ginsengisoli","1005039","species"
"Finegoldia","150022","genus"
"Finegoldia magna","1260","species"
"Hapalosiphonaceae","1892263","family"
"Fischerella","1190","genus"
"Ferriphaselus","1443590","genus"
"Ferriphaselus amnicola","1188319","species"
"Flammeovirgaceae","200667","family"
"Flammeovirga","59739","genus"
"Flammeovirga pectinis","2494373","species"
"Flagellimonas","444459","genus"
"Flagellimonas maritima","1383885","species"
"Flaviflexus","1522056","genus"
"Flaviflexus salsibiostraticola","1282737","species"
"Flavisolibacter","398041","genus"
"Flavisolibacter ginsenosidimutans","661481","species"
"Flavisolibacter tropicus","1492898","species"
"Flavivirga","1209327","genus"
"Flavivirga eckloniae","1803846","species"
"Flavobacteriaceae bacterium","1871037","species"
"Flavobacterium","237","genus"
"Flavobacterium alkalisoli","2602769","species"
"Flavobacterium album","2175091","species"
"Flavobacterium branchiophilum","55197","species"
"Flavobacterium arcticum","1784713","species"
"Phnomibacter","2836216","genus"
"Phnomibacter ginsenosidimutans","2676868","species"
"Flavobacterium columnare","996","species"
"Flavobacterium faecale","1355330","species"
"Flavobacterium commune","1306519","species"
"Flavobacterium crocinum","2183896","species"
"Flavobacterium gilvum","1492737","species"
"Flavobacterium indicum","312277","species"
"Flavobacterium johnsoniae","986","species"
"Flavobacterium pallidum","2172098","species"
"Flavobacterium psychrophilum","96345","species"
"Flavobacterium magnum","2162713","species"
"Flavobacterium sangjuense","2518177","species"
"Flavobacterium sediminis","2201181","species"
"Flavobacterium sp. LPB0248","2614441","species"
"Flavobacterium sp. SLB02","2665645","species"
"Flavonifractor","946234","genus"
"Flavonifractor plautii","292800","species"
"Fluviibacterium","2661844","genus"
"Fluviibacterium aquatile","2552766","species"
"Fluviicola taffensis","191579","species"
"Formosa","225842","genus"
"Formosa agariphila","320324","species"
"Francisella","262","genus"
"Francisella adeliensis","2007306","species"
"Francisella tularensis","263","species"
"Fluviibacteraceae","2808923","family"
"Fluviibacter","2808942","genus"
"Fluviibacter phosphoraccumulans","1751046","species"
"Flexistipes","2351","genus"
"Flexistipes sinusarabici","2352","species"
"Francisella frigiditurris","1542390","species"
"Francisella hispaniensis","622488","species"
"Francisella marina","2249302","species"
"Formosa sediminum","2594004","species"
"Francisella halioticida","549298","species"
"Francisella noatunensis","657445","species"
"Francisella orientalis","299583","species"
"Francisella opportunistica","2016517","species"
"Francisella philomiragia","28110","species"
"Francisella persica","954","species"
"Francisella salina","573569","species"
"Francisella sp. LA112445","1395624","species"
"Francisella uliginis","573570","species"
"Frankiales","85013","order"
"Frankiaceae","74712","family"
"Frankia","1854","genus"
"Frankia alni","1859","species"
"Frankia casuarinae","106370","species"
"Frederiksenia","1649317","genus"
"Frederiksenia canicola","123824","species"
"Frateuria","70411","genus"
"Frateuria aurantia","81475","species"
"Rivulariaceae","1185","family"
"Microchaete","188910","genus"
"Microchaete diplosiphon","1197","species"
"Friedmanniella","53387","genus"
"Friedmanniella luteola","546871","species"
"Frankia inefficax","298654","species"
"Frondihabitans","447237","genus"
"Fretibacterium","1434006","genus"
"Fretibacterium fastidiosum","651822","species"
"Fructilactobacillus","2767881","genus"
"Fructilactobacillus fructivorans","1614","species"
"Fructilactobacillus lindneri","53444","species"
"Frigoribacterium","96492","genus"
"Fructilactobacillus sanfranciscensis","1625","species"
"Orbales","1240482","order"
"Orbaceae","1240483","family"
"Frischella","1335631","genus"
"Frischella perrara","1267021","species"
"Fuerstia","1936111","genus"
"Fuerstia marisgermanicae","1891926","species"
"Furfurilactobacillus","2767882","genus"
"Furfurilactobacillus rossiae","231049","species"
"Fulvivirga","396811","genus"
"Fulvimarina","217510","genus"
"Fulvimarina pelagi","217511","species"
"Fusobacteria","32066","phylum"
"Fusobacteriia","203490","class"
"Fusobacteriales","203491","order"
"Fusobacteriaceae","203492","family"
"Fusobacterium","848","genus"
"Fusobacterium canifelinum","285729","species"
"Fusobacterium hwasookii","1583098","species"
"Fusobacterium necrophorum","859","species"
"Fusobacterium mortiferum","850","species"
"Fusobacterium nucleatum","851","species"
"Fusobacterium gonidiaformans","849","species"
"Fusobacterium periodonticum","860","species"
"Fusobacterium ulcerans","861","species"
"Fusobacterium varium","856","species"
"Fusobacterium sp. oral taxon 203","671211","species"
"Galbibacter","379068","genus"
"Galbibacter sp. BG1","1170699","species"
"Gallibacterium","155493","genus"
"Gallibacterium anatis","750","species"
"Gallionella","96","genus"
"Gallionella capsiferriformans","370405","species"
"Gardnerella","2701","genus"
"Gardnerella vaginalis","2702","species"
"Gemella","1378","genus"
"Gemella haemolysans","1379","species"
"Gemella morbillorum","29391","species"
"Gemella sanguinis","84135","species"
"Coleofasciculaceae","1892251","family"
"Geitlerinema","63132","genus"
"Gemella sp. oral taxon 928","1785995","species"
"Gemmatales","2691355","order"
