name,sysname,reaction
"4.2.2.25","gellan beta-D-glucopyranosyl-(1->4)-D-glucopyranosyluronate lyase","Eliminative cleavage of beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyluronate bonds of gellan backbone releasing tetrasaccharides containing a 4-deoxy-4,5-unsaturated D-glucopyranosyluronic acid at the non-reducing end. The tetrasaccharide produced from deacetylated gellan is beta-D-4-deoxy-Delta4-GlcAp-(1->4)-beta-D-Glcp-(1->4)-alpha-L-Rhap-(1->3)-beta-D-Glcp."
"2.4.1.132","GDP-alpha-D-mannose:beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol 3-alpha-D-mannosyltransferase (configuration-retaining)","GDP-alpha-D-mannose + beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol = GDP + alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol [RN:R05002 R05973]"
"4.2.2.7","heparin lyase","Eliminative cleavage of polysaccharides containing (1->4)-linked D-glucuronate or L-iduronate residues and (1->4)-alpha-linked 2-sulfoamino-2-deoxy-6-sulfo-D-glucose residues to give oligosaccharides with terminal 4-deoxy-alpha-D-gluc-4-enuronosyl groups at their non-reducing ends"
"2.4.1.288","UDP-alpha-D-galactofuranose:beta-D-galactofuranosyl-(1->5)-beta-D-galactofuranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol 4-beta/5-beta-D-galactofuranosyltransferase","28 UDP-alpha-D-galactofuranose + beta-D-galactofuranosyl-(1->5)-beta-D-galactofuranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol = 28 UDP + [beta-D-galactofuranosyl-(1->5)-beta-D-galactofuranosyl-(1->6)]14-beta-D-galactofuranosyl-(1->5)-beta-D-galactofuranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol"
"2.4.1.157","",""
"3.2.1.162","endo-(1->4)-beta-carrageenose 2,6,2'-trisulfate-hydrolase","Endohydrolysis of (1->4)-beta-linkages in the backbone of lambda-carrageenan, resulting in the tetrasaccharide alpha-D-Galp2,6S2-(1->3)-beta-D-Galp2S-(1->4)-alpha-D-Galp2,6S2-(1->3)-D-Galp2S"
"3.5.1.104","peptidoglycan-N-acetylglucosamine amidohydrolase","peptidoglycan-N-acetyl-D-glucosamine + H2O = peptidoglycan-D-glucosamine + acetate [RN:R09721]"
"2.4.1.22","UDP-alpha-D-galactose:D-glucose 4-beta-D-galactosyltransferase","UDP-alpha-D-galactose + D-glucose = UDP + lactose [RN:R00503 R06067]"
"3.2.1.135","pullulan 4-D-glucanohydrolase (panose-forming)","Hydrolysis of pullulan to panose (6-alpha-D-glucosylmaltose)"
"2.4.1.102","UDP-N-acetyl-alpha-D-glucosamine:O3-[beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl]-glycoprotein 6-beta-N-acetyl-D-glucosaminyltransferase (configuration-inverting)","UDP-N-acetyl-alpha-D-glucosamine + O3-[beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl]-L-seryl/threonyl-[protein] = UDP + O3-{beta-D-galactosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl}-L-seryl/threonyl-[protein] [RN:R04575 R05912]"
"2.4.1.177","UDP-glucose:trans-cinnamate beta-D-glucosyltransferase","UDP-glucose + trans-cinnamate = UDP + trans-cinnamoyl beta-D-glucoside [RN:R02256]"
"2.4.1.121","UDP-glucose:(indol-3-yl)acetate beta-D-glucosyltransferase","UDP-glucose + (indol-3-yl)acetate = UDP + 1-O-(indol-3-yl)acetyl-beta-D-glucose [RN:R03094]"
"3.2.1.59","3-alpha-D-glucan 3-glucanohydrolase","Endohydrolysis of (1->3)-alpha-D-glucosidic linkages in isolichenin, pseudonigeran and nigeran"
"3.2.1.25","beta-D-mannoside mannohydrolase","Hydrolysis of terminal, non-reducing beta-D-mannose residues in beta-D-mannosides [RN:R08613]"
"5.4.99.30","UDP-arabinopyranose pyranomutase","UDP-beta-L-arabinofuranose = UDP-beta-L-arabinopyranose [RN:R09009]"
"3.2.1.147","thioglucoside glucohydrolase","a thioglucoside + H2O = a sugar + a thiol [RN:R01237]"
"2.4.1.305","UDP-alpha-D-glucose:N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol beta-1,3-glucosyltransferase","UDP-alpha-D-glucose + N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol = UDP + beta-D-Glc-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol [RN:R10434]"
"5.4.99.16","maltose alpha-D-glucosylmutase","maltose = alpha,alpha-trehalose [RN:R01557 R06218]"
"3.2.1.15","(1->4)-alpha-D-galacturonan glycanohydrolase (endo-cleaving)","(1,4-alpha-D-galacturonosyl)n+m + H2O = (1,4-alpha-D-galacturonosyl)n + (1,4-alpha-D-galacturonosyl)m"
"3.2.1.104","cholesteryl-beta-D-glucoside glucohydrolase","cholesteryl-beta-D-glucoside + H2O = D-glucose + cholesterol [RN:R01460]"
"4.2.2.1","hyaluronate lyase","Cleaves hyaluronate chains at a beta-D-GlcNAc-(1->4)-beta-D-GlcA bond, ultimately breaking the polysaccharide down to 3-(4-deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine. [RN:R02465 R06242]"
"2.4.1.109","dolichyl beta-D-mannosyl-phosphate:L-threonyl/L-seryl-[protein] O-D-mannosyltransferase (configuration-inverting)","(1) dolichyl beta-D-mannosyl phosphate + L-threonyl-[protein] = dolichyl phosphate + 3-O-(alpha-D-mannosyl)-L-threonyl-[protein] [RN:R11399];"
"3.2.1.156","beta-D-xylopyranosyl-(1->4)-beta-D-xylopyranose reducing-end xylanase","Hydrolysis of (1->4)-beta-D-xylose residues from the reducing end of oligosaccharides"
"3.1.1.6","acetic-ester acetylhydrolase","an acetic ester + H2O = an alcohol + acetate [RN:R00628]"
"3.2.1.158","agarose 3-glycanohydrolase","Endohydrolysis of (1->3)-alpha-L-galactosidic linkages in agarose, yielding agarotetraose as the major product"
"3.2.1.151","[(1->6)-alpha-D-xylo]-(1->4)-beta-D-glucan glucanohydrolase","xyloglucan + H2O = xyloglucan oligosaccharides"
"3.2.1.70","glucan 6-alpha-D-glucohydrolase","Hydrolysis of (1->6)-alpha-D-glucosidic linkages in (1->6)-alpha-D-glucans and derived oligosaccharides"
"4.2.2.6","oligogalacturonide lyase","4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate = 2 5-dehydro-4-deoxy-D-glucuronate [RN:R04382 R06249]"
"1.2.3.15","(methyl)glyoxal:oxygen oxidoreductase","(1) glyoxal + H2O + O2 = glyoxylate + H2O2 [RN:R11351];"
"2.4.1.25","(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan 4-alpha-D-glycosyltransferase","Transfers a segment of a (1->4)-alpha-D-glucan to a new position in an acceptor, which may be glucose or a (1->4)-alpha-D-glucan"
"2.4.1.252","GDP-mannose:D-Glc-beta-(1->4)-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase","GDP-mannose + D-Glc-beta-(1->4)-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol = GDP + D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol [RN:R09733]"
"2.4.1.319","1,4-beta-D-mannooligosaccharide:phosphate alpha-D-mannosyltransferase","[(1->4)-beta-D-mannosyl]n + phosphate = [(1->4)-beta-D-mannosyl]n-1 + alpha-D-mannose 1-phosphate"
"3.2.1.37","4-beta-D-xylan xylohydrolase","Hydrolysis of (1->4)-beta-D-xylans, to remove successive D-xylose residues from the non-reducing termini"
"3.2.1.80","beta-D-fructan fructohydrolase","Hydrolysis of terminal, non-reducing (2->1)- and (2->6)-linked beta-D-fructofuranose residues in fructans"
"2.4.1.88","UDP-N-acetyl-alpha-D-galactosamine:N-acetyl-beta-D-galactosaminyl-(1->3)-alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide alpha-N-acetyl-D-galactosaminyltransferase","UDP-N-acetyl-alpha-D-galactosamine + N-acetyl-beta-D-galactosaminyl-(1->3)-alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide = UDP + N-acetyl-alpha-D-galactosaminyl-(1->3)-N-acetyl-beta-D-galactosaminyl-(1->3)-alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide [RN:R04182 R05965]"
"2.4.1.131","GDP-alpha-D-mannose:alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol 2-alpha-D-mannosyltransferase (configuration-retaining)","2 GDP-alpha-D-mannose + alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol = 2 GDP + alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol [RN:R06127 R06128]"
"3.2.1.28","alpha,alpha-trehalose glucohydrolase","alpha,alpha-trehalose + H2O = beta-D-glucose + alpha-D-glucose [RN:R00010 R06103]"
"3.2.1.94","6-alpha-D-glucan isomaltohydrolase","Hydrolysis of (1->6)-alpha-D-glucosidic linkages in polysaccharides, to remove successive isomaltose units from the non-reducing ends of the chains"
"2.4.1.13","NDP-alpha-D-glucose:D-fructose 2-alpha-D-glucosyltransferase (configuration-retaining)","NDP-alpha-D-glucose + D-fructose = NDP + sucrose [RN:R07256]"
"2.4.1.208","UDP-alpha-D-glucose:1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol 2-glucosyltransferase","UDP-alpha-D-glucose + 1,2-diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol = 1,2-diacyl-3-O-[alpha-D-glucopyranosyl-(1->2)-O-alpha-D-glucopyranosyl]-sn-glycerol + UDP [RN:R05164]"
"2.4.1.152","GDP-beta-L-fucose:beta-D-galactosyl-(1->4)-N-acetyl-D-glucosaminyl-R 3-alpha-L-fucosyltransferase (configuration-inverting)","GDP-beta-L-fucose + beta-D-galactosyl-(1->4)-N-acetyl-D-glucosaminyl-R = GDP + beta-D-galactosyl-(1->4)-[alpha-L-fucosyl-(1->3)]-N-acetyl-D-glucosaminyl-R [RN:R03519]"
"1.11.1.13","Mn(II):hydrogen-peroxide oxidoreductase","2 Mn(II) + 2 H+ + H2O2 = 2 Mn(III) + 2 H2O [RN:R00011]"
"2.4.1.69","GDP-beta-L-fucose:beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-R alpha-(1,2)-L-fucosyltransferase (configuration-inverting)","GDP-beta-L-fucose + beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-R = GDP + alpha-L-fucosyl-(1->2)-beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-R [RN:R04081]"
"2.4.1.41","UDP-N-alpha-acetyl-D-galactosamine:[protein]-3-O-N-acetyl-alpha-D-galactosaminyl transferase (configuration-retaining)","(1) UDP-N-acetyl-alpha-D-galactosamine + [protein]-L-serine = UDP + [protein]-3-O-(N-acetyl-alpha-D-galactosaminyl)-L-serine [RN:R02183];"
"3.2.1.82","poly[(1->4)-alpha-D-galactosiduronate] non-reducing-end-digalacturonohydrolase","[(1->4)-alpha-D-galacturonosyl]n + H2O = alpha-D-galacturonosyl-(1->4)-D-galacturonate + [(1->4)-alpha-D-galacturonosyl]n-2 [RN:R02360 R06239]"
"3.2.1.74","4-beta-D-glucan glucohydrolase","Hydrolysis of (1->4)-linkages in (1->4)-beta-D-glucans, to remove successive glucose units"
"2.4.1.66","UDP-alpha-D-glucose:[procollagen]-(5R)-5-O-(beta-D-galactosyl)-5-hydroxy-L-lysine 2-alpha-D-glucosyltransferase (configuration-retaining)","UDP-alpha-D-glucose + [procollagen]-(5R)-5-O-(beta-D-galactosyl)-5-hydroxy-L-lysine = UDP + [procollagen]-(5R)-5-O-[alpha-D-glucosyl-(1->2)-beta-D-galactosyl]-5-hydroxy-L-lysine [RN:R04491]"
"3.2.1.17","peptidoglycan N-acetylmuramoylhydrolase","Hydrolysis of (1->4)-beta-linkages between N-acetylmuramic acid and N-acetyl-D-glucosamine residues in a peptidoglycan and between N-acetyl-D-glucosamine residues in chitodextrins"
"2.4.1.231","alpha,alpha-trehalose:phosphate alpha-D-glucosyltransferase","alpha,alpha-trehalose + phosphate = alpha-D-glucose + alpha-D-glucose 1-phosphate [RN:R07265]"
"3.2.1.2","4-alpha-D-glucan maltohydrolase","Hydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides so as to remove successive maltose units from the non-reducing ends of the chains"
"3.2.1.145","galactan 3-beta-D-galactosidase","Hydrolysis of terminal, non-reducing beta-D-galactose residues in (1->3)-beta-D-galactopyranans"
"2.4.1.99","sucrose:sucrose 1'-beta-D-fructosyltransferase","2 sucrose = D-glucose + beta-D-fructofuranosyl-(2->1)-beta-D-fructofuranosyl alpha-D-glucopyranoside [RN:R00015 R06135]"
"3.2.1.120","oligoxyloglucan xyloglucohydrolase","Hydrolysis of (1->4)-beta-D-glucosidic links in oligoxyloglucans so as to remove successive isoprimeverose [i.e. alpha-xylo-(1->6)-beta-D-glucosyl-] residues from the non-reducing chain ends"
"1.1.99.18","cellobiose:acceptor 1-oxidoreductase","cellobiose + acceptor = cellobiono-1,5-lactone + reduced acceptor [RN:R01443 R06246]"
"2.4.1.115","UDP-D-glucose:anthocyanidin 3-O-beta-D-glucosyltransferase","UDP-D-glucose + an anthocyanidin = UDP + an anthocyanidin-3-O-beta-D-glucoside [RN:R03797]"
"1.14.99.56","cellulose, hydrogen-donor:oxygen oxidoreductase (D-glucosyl 4-dehydrogenating)","[(1->4)-beta-D-glucosyl]n+m + reduced acceptor + O2 = 4-dehydro-beta-D-glucosyl-[(1->4)-beta-D-glucosyl]n-1 + [(1->4)-beta-D-glucosyl]m + acceptor + H2O [RN:R11747]"
"3.1.1.74","cutin hydrolase","cutin + H2O = cutin monomers [RN:R05793]"
"2.4.1.202","UDP-alpha-D-glucose:2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-beta-D-glucosyltransferase","(1) UDP-alpha-D-glucose + 2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one = UDP + (2R)-4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl beta-D-glucopyranoside [RN:R04579];"
"3.2.1.20","alpha-D-glucoside glucohydrolase","Hydrolysis of terminal, non-reducing (1->4)-linked alpha-D-glucose residues with release of D-glucose"
"3.2.1.24","alpha-D-mannoside mannohydrolase","Hydrolysis of terminal, non-reducing alpha-D-mannose residues in alpha-D-mannosides"
"3.5.1.41","chitin amidohydrolase","chitin + H2O = chitosan + acetate [RN:R02333 R06241]"
"3.1.1.11","pectin pectylhydrolase","pectin + n H2O = n methanol + pectate [RN:R02362 R06250]"
"3.2.1.88","beta-L-arabinopyranoside non-reducing end beta-L-arabinopyranosidase","Removal of a terminal beta-L-arabinopyranose residue from the non-reducing end of its substrate. [RN:R01760]"
"3.2.1.45","D-glucosyl-N-acylsphingosine glucohydrolase","a D-glucosyl-N-acylsphingosine + H2O = D-glucose + a ceramide [RN:R01498]"
"3.2.1.118","prunasin beta-D-glucohydrolase","(R)-prunasin + H2O = D-glucose + mandelonitrile [RN:R02558]"
"3.2.1.76","glycosaminoglycan alpha-L-iduronohydrolase","Hydrolysis of unsulfated alpha-L-iduronosidic linkages in dermatan sulfate"
"2.4.1.245","NDP-alpha-D-glucose:D-glucose 1-alpha-D-glucosyltransferase","NDP-alpha-D-glucose + D-glucose = alpha,alpha-trehalose + NDP [RN:R10525]"
"2.4.1.234","UDP-alpha-D-galactose:kaempferol 3-O-beta-D-galactosyltransferase","UDP-alpha-D-galactose + kaempferol = UDP + kaempferol 3-O-beta-D-galactoside [RN:R06808]"
"2.4.1.18","(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan 6-alpha-D-[(1->4)-alpha-D-glucano]-transferase","Transfers a segment of a (1->4)-alpha-D-glucan chain to a primary hydroxy group in a similar glucan chain [RN:R02110 R06186]"
"5.4.99.15","(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase","4-[(1->4)-alpha-D-glucosyl]n-1-D-glucose = 1-alpha-D-[(1->4)-alpha-D-glucosyl]n-1-alpha-D-glucopyranoside [RN:R01824 R06243]"
"2.4.2.43","4-amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate:lipid IVA 4-amino-4-deoxy-L-arabinopyranosyltransferase","(1) 4-amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate + alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A = alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[4-P-L-Ara4N]-lipid A + ditrans,octacis-undecaprenyl phosphate [RN:R09781];"
"3.1.1.73","4-hydroxy-3-methoxycinnamoyl-sugar hydrolase","feruloyl-polysaccharide + H2O = ferulate + polysaccharide [RN:R07292]"
"2.4.1.92","UDP-N-acetyl-alpha-D-galactosamine:O-(N-acetyl-alpha-neuraminyl)-(2->3)-O-beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranosyl-(1<->1)-ceramide 4-beta-N-acetyl-D-galactosaminyltransferase","UDP-N-acetyl-alpha-D-galactosamine + O-(N-acetyl-alpha-neuraminyl)-(2->3)-O-beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranosyl-(1<->1)-ceramide = UDP + O-2-(acetylamino)-2-deoxy-beta-D-galactopyranosyl-(1->4)-O-[N-acetyl-alpha-neuraminyl-(2->3)]-O-beta-D-galactopyranosyl-(1->4)-beta-D-glucopyranosyl-(1<->1)-ceramide [RN:R04584 R05939]"
"3.2.1.98","4-alpha-D-glucan maltohexaohydrolase","Hydrolysis of (1->4)-alpha-D-glucosidic linkages in amylaceous polysaccharides, to remove successive maltohexaose residues from the non-reducing chain ends"
"3.2.1.107","[collagen]-(5R)-5-O-[alpha-D-glucosyl-(1->2)-beta-D-galactosyl]-5-hydroxy-L-lysine glucohydrolase","[collagen]-(5R)-5-O-[alpha-D-glucosyl-(1->2)-beta-D-galactosyl]-5-hydroxy-L-lysine + H2O = D-glucose + [collagen]-(5R)-5-O-(beta-D-galactosyl)-5-hydroxy-L-lysine [RN:R04503]"
"3.2.1.199","6-sulfo-alpha-D-quinovosyl diacylglycerol 6-sulfo-D-quinovohydrolase","an 6-sulfo-alpha-D-quinovosyl diacylglycerol + H2O = 6-sulfo-D-quinovose + a 1,2-diacylglycerol [RN:R11543]"
"2.4.1.14","UDP-alpha-D-glucose:D-fructose-6-phosphate 2-alpha-D-glucosyltransferase (configuration-retaining)","UDP-alpha-D-glucose + D-fructose 6-phosphate = UDP + sucrose 6F-phosphate [RN:R00766 R06073]"
"2.4.1.211","beta-D-galactopyranosyl-(1->3)-N-acetyl-D-hexosamine:phosphate galactosyltransferase","beta-D-galactopyranosyl-(1->3)-N-acetyl-D-glucosamine + phosphate = alpha-D-galactopyranose 1-phosphate + N-acetyl-D-glucosamine [RN:R05326 R06057]"
"1.1.3.38","vanillyl alcohol:oxygen oxidoreductase","vanillyl alcohol + O2 = vanillin + H2O2 [RN:R02877]"
"2.4.1.282","3-O-alpha-D-glucopyranosyl-L-rhamnopyranose:phosphate beta-D-glucosyltransferase","3-O-alpha-D-glucopyranosyl-L-rhamnopyranose + phosphate = L-rhamnopyranose + beta-D-glucose 1-phosphate [RN:R10098]"
"2.4.1.65","GDP-beta-L-fucose:beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-R 4I-alpha-L-fucosyltransferase (configuration-inverting)","GDP-beta-L-fucose + beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl-R = GDP + beta-D-galactosyl-(1->3)-[alpha-L-fucosyl-(1->4)]-N-acetyl-beta-D-glucosaminyl-R [RN:R04553]"
"3.2.1.18","acetylneuraminyl hydrolase","Hydrolysis of alpha-(2->3)-, alpha-(2->6)-, alpha-(2->8)- glycosidic linkages of terminal sialic acid residues in oligosaccharides, glycoproteins, glycolipids, colominic acid and synthetic substrates"
"3.2.1.123","oligoglycosylglucosyl-(1<->1)-ceramide glycohydrolase","oligoglycosylglucosyl-(1<->1)-ceramide + H2O = ceramide + oligoglycosylglucose [RN:R04118 R06157]"
"2.4.1.237","UDP-glucose:flavonol 7-O-beta-D-glucosyltransferase","UDP-glucose + a flavonol = UDP + a flavonol 7-O-beta-D-glucoside [RN:R07338]"
"2.4.1.342","ADP-alpha-D-glucose:alpha-D-glucose-1-phosphate 4-alpha-D-glucosyltransferase (configuration-retaining)","ADP-alpha-D-glucose + alpha-D-glucose-1-phosphate = ADP + alpha-maltose-1-phosphate [RN:R11530]"
"2.4.1.224","UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase","UDP-N-acetyl-D-glucosamine + beta-D-glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-proteoglycan = UDP + N-acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-proteoglycan [RN:R07334]"
"3.2.1.89","arabinogalactan 4-beta-D-galactanohydrolase","The enzyme specifically hydrolyses (1->4)-beta-D-galactosidic linkages in type I arabinogalactans."
"3.2.1.109","galactosaminoglycan glycanohydrolase","Endohydrolysis of (1->4)-alpha-D-galactosaminidic linkages in poly(D-galactosamine)"
"3.2.1.133","4-alpha-D-glucan alpha-maltohydrolase","hydrolysis of (1->4)-alpha-D-glucosidic linkages in polysaccharides so as to remove successive alpha-maltose residues from the non-reducing ends of the chains"
"2.4.1.266","NDP-glucose:3-phospho-D-glycerate 2-alpha-D-glucosyltransferase","NDP-glucose + 3-phospho-D-glycerate = NDP + 2-O-(alpha-D-glucopyranosyl)-3-phospho-D-glycerate [RN:R09663]"
"3.2.1.6","3(or 4)-beta-D-glucan 3(4)-glucanohydrolase","Endohydrolysis of (1->3)- or (1->4)-linkages in beta-D-glucans when the glucose residue whose reducing group is involved in the linkage to be hydrolysed is itself substituted at C-3"
"2.4.99.8","CMP-N-acetylneuraminate:alpha-N-acetylneuraminyl-(2->3)-beta-D-galactoside alpha-(2->8)-N-acetylneuraminyltransferase","CMP-N-acetylneuraminate + alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-R = CMP + alpha-N-acetylneuraminyl-(2->8)-alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-R [RN:R04564]"
"2.4.1.238","UDP-alpha-D-glucose:delphinidin-3,5-di-O-beta-D-glucoside 3'-O-glucosyltransferase","UDP-alpha-D-glucose + delphinidin 3,5-di-O-beta-D-glucoside = UDP + delphinidin 3,3',5-tri-O-beta-D-glucoside [RN:R07912]"
"2.4.1.287","UDP-alpha-D-galactofuranose:alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol 4-beta/4-beta-galactofuranosyltransferase (configuration-inverting)","2 UDP-alpha-D-galactofuranose + alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol = 2 UDP + beta-D-galactofuranosyl-(1->5)-beta-D-galactofuranosyl-(1->4)-alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol (overall reaction);"
"3.2.1.91","4-beta-D-glucan cellobiohydrolase (non-reducing end)","Hydrolysis of (1->4)-beta-D-glucosidic linkages in cellulose and cellotetraose, releasing cellobiose from the non-reducing ends of the chains"
"2.4.1.221","GDP-beta-L-fucose:polypeptide O-alpha-L-fucosyltransferase","transfers an alpha-L-fucosyl residue from GDP-beta-L-fucose to the serine hydroxy group of a protein acceptor [RN:R09295]"
"3.2.1.198","alpha-mannan 1,2-[alpha-D-mannosyl-(1->3)-alpha-D-mannose] hydrolase","Hydrolysis of the terminal alpha-D-mannosyl-(1->3)-alpha-D-mannose disaccharide from alpha-D-mannosyl-(1->3)-alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->2)-alpha-D-mannosyl side chains in fungal cell wall alpha-mannans."
"2.4.1.215","UDP-glucose:cis-zeatin O-beta-D-glucosyltransferase","UDP-glucose + cis-zeatin = UDP + O-beta-D-glucosyl-cis-zeatin [RN:R07260]"
"3.2.1.116","4-alpha-D-glucan maltotriohydrolase","Hydrolysis of (1->4)-alpha-D-glucosidic linkages in amylaceous polysaccharides, to remove successive maltotriose residues from the non-reducing chain ends"
"3.1.1.72","acetylxylan esterase","Deacetylation of xylans and xylo-oligosaccharides"
"3.2.1.36","hyaluronate 3-glycanohydrolase","Random hydrolysis of (1->3)-linkages between beta-D-glucuronate and N-acetyl-D-glucosamine residues in hyaluronate"
"2.4.1.185","UDP-glucose:flavanone 7-O-beta-D-glucosyltransferase","UDP-glucose + a flavanone = UDP + a flavanone 7-O-beta-D-glucoside [RN:R07333]"
"3.2.1.212","poly[(1->4)-alpha-L-fucoside-2/3-sulfate] glycanohydrolase","endohydrolysis of (1->4)-alpha-L-fucoside linkages in fucan"
"3.1.1.3","triacylglycerol acylhydrolase","triacylglycerol + H2O = diacylglycerol + a carboxylate [RN:R01369]"
"3.2.1.125","raucaffricine beta-D-glucohydrolase","raucaffricine + H2O = D-glucose + vomilenine [RN:R03703]"
"3.2.1.95","6-alpha-D-glucan isomaltotriohydrolase","Hydrolysis of (1->6)-alpha-D-glucosidic linkages in dextrans, to remove successive isomaltotriose units from the non-reducing ends of the chains"
"2.4.1.183","UDP-glucose:alpha-D-(1->3)-glucan 3-alpha-D-glucosyltransferase","UDP-glucose + [alpha-D-glucosyl-(1->3)]n = UDP + [alpha-D-glucosyl-(1->3)]n+1 [RN:R03996 R06045]"
"2.4.1.150","UDP-N-acetyl-alpha-D-glucosamine:beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminide 6-beta-N-acetylglucosaminyltransferase (configuration-inverting)","UDP-N-acetyl-alpha-D-glucosamine + beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-R = UDP + beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-[beta-D-GlcNAc-(1->6)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-R [RN:R11879]"
"2.4.1.35","UDP-glucose:phenol beta-D-glucosyltransferase","UDP-glucose + a phenol = UDP + an aryl beta-D-glucoside [RN:R01240]"
"3.2.1.58","3-beta-D-glucan glucohydrolase","Successive hydrolysis of beta-D-glucose units from the non-reducing ends of (1->3)-beta-D-glucans, releasing alpha-glucose"
